question,answer
"Look at this series: -16, -25, -34, -43, ... What number should come next?",B
"Look at this series: 97, 89, 81, 73, ... What number should come next?",B
"Look at this series: 2, 4, 8, 16, ... What number should come next?",B
"Look at this series: 0, 1, 2, 3, ... What number should come next?",A
"Look at this series: -1, -3, -5, -7, ... What number should come next?",A
"Look at this series: 7, 8, 0, 1, ... What number should come next?",D
"Look at this series: 6, 7, 0, 1, ... What number should come next?",C
"Look at this series: 200, 100, 50, 25, ... What number should come next?",C
"Look at this series: 1.2, 2.6, 4.0, 5.4, ... What number should come next?",A
"Look at this series: 3, 9, 27, 81, ... What number should come next?",A
"Look at this series: 3.7, 4.5, 5.3, 6.1, ... What number should come next?",A
"Look at this series: -16, -22, -28, -34, ... What number should come next?",D
"Look at this series: 81, 76, 71, 66, ... What number should come next?",D
"Look at this series: -20, -21, -22, -23, ... What number should come next?",B
"Look at this series: 1, 4, 16, 64, ... What number should come next?",A
"Look at this series: 141, 35, 8, 2, ... What number should come next?",C
"Look at this series: -18, -28, -38, -48, ... What number should come next?",C
"Look at this series: 59, 47, 35, 23, ... What number should come next?",A
"Look at this series: 2, 3, 4, 5, ... What number should come next?",B
"Look at this series: 4, 16, 64, 256, ... What number should come next?",C
"Look at this series: 56, 44, 32, 20, ... What number should come next?",A
"Look at this series: 67, 57, 47, 37, ... What number should come next?",A
"Look at this series: -3, -5, -7, -9, ... What number should come next?",C
"Look at this series: 2.3, 3.7, 5.1, 6.5, ... What number should come next?",B
"Look at this series: 163, 54, 18, 6, ... What number should come next?",A
"Look at this series: -6, -10, -14, -18, ... What number should come next?",B
"Look at this series: 9, 27, 81, 243, ... What number should come next?",B
"Look at this series: 2, 8, 32, 128, ... What number should come next?",B
"Look at this series: 10, 15, 20, 25, ... What number should come next?",A
"Look at this series: 5, 15, 45, 135, ... What number should come next?",C
"Look at this series: -15, -23, -31, -39, ... What number should come next?",A
"Look at this series: 16, 22, 28, 34, ... What number should come next?",B
"Look at this series: 74, 66, 58, 50, ... What number should come next?",C
"Look at this series: 18, 20, 22, 24, ... What number should come next?",A
"Look at this series: -4, -10, -16, -22, ... What number should come next?",B
"Look at this series: 1, 2, 3, 4, ... What number should come next?",A
"Look at this series: -10, -16, -22, -28, ... What number should come next?",B
"Look at this series: 4, 10, 16, 22, ... What number should come next?",D
"Look at this series: 3.7, 5.1, 6.5, 7.9, ... What number should come next?",B
"Look at this series: 1, 4, 9, 16, ... What number should come next?",D
"Look at this series: 8, 16, 32, 64, ... What number should come next?",D
"Look at this series: -11, -19, -27, -35, ... What number should come next?",C
"Look at this series: 86, 80, 74, 68, ... What number should come next?",A
"Look at this series: 16, 64, 256, 1024, ... What number should come next?",A
"Look at this series: 14, 22, 30, 38, ... What number should come next?",C
"Look at this series: 165, 41, 10, 2, ... What number should come next?",B
"Look at this series: -10, -11, -12, -13, ... What number should come next?",B
"Look at this series: 0.5, 1.9, 3.3, 4.7, ... What number should come next?",D
"Look at this series: 69, 64, 59, 54, ... What number should come next?",D
"Look at this series: 4, 9, 16, 25, ... What number should come next?",A
"Look at this series: -6, -14, -22, -30, ... What number should come next?",A
"Look at this series: 9, 14, 19, 24, ... What number should come next?",D
"Look at this series: 1.5, 2.9, 4.3, 5.7, ... What number should come next?",D
"Look at this series: -13, -17, -21, -25, ... What number should come next?",D
"Look at this series: 2.5, 4.1, 5.7, 7.3, ... What number should come next?",C
"Look at this series: 162, 54, 18, 6, ... What number should come next?",D
"Look at this series: 56, 51, 46, 41, ... What number should come next?",A
"Look at this series: 60, 51, 42, 33, ... What number should come next?",A
"Look at this series: -1, -6, -11, -16, ... What number should come next?",C
"Look at this series: -6, -9, -12, -15, ... What number should come next?",C
"Look at this series: 64, 256, 1024, 4096, ... What number should come next?",B
"Look at this series: 1.0, 1.8, 2.6, 3.4, ... What number should come next?",C
"Look at this series: 161, 32, 6, 1, ... What number should come next?",B
"Look at this series: 9, 16, 25, 36, ... What number should come next?",B
"Look at this series: 3.0, 3.6, 4.2, 4.8, ... What number should come next?",A
"Look at this series: 1, 5, 25, 125, ... What number should come next?",C
"Look at this series: 160, 32, 6, 1, ... What number should come next?",A
"Look at this series: 3, 4, 5, 6, ... What number should come next?",C
"Look at this series: 3.8, 5.2, 6.6, 8.0, ... What number should come next?",D
"Look at this series: -20, -24, -28, -32, ... What number should come next?",D
"Look at this series: 0.6, 1.0, 1.4, 1.8, ... What number should come next?",D
"Look at this series: 135, 67, 33, 16, ... What number should come next?",B
"Look at this series: 162, 81, 40, 20, ... What number should come next?",C
"Look at this series: 69, 56, 43, 30, ... What number should come next?",C
"Look at this series: 73, 58, 43, 28, ... What number should come next?",D
"Look at this series: 4.5, 6.1, 7.7, 9.3, ... What number should come next?",A
"Look at this series: 9, 11, 13, 15, ... What number should come next?",A
"Look at this series: 14, 23, 32, 41, ... What number should come next?",B
"Look at this series: 104, 52, 26, 13, ... What number should come next?",C
"Look at this series: 0.6, 2.1, 3.6, 5.1, ... What number should come next?",D
"Look at this series: 5, 0, 1, 2, ... What number should come next?",C
"Look at this series: 7, 16, 25, 34, ... What number should come next?",D
"Look at this series: 190, 47, 11, 2, ... What number should come next?",D
"Look at this series: 165, 82, 41, 20, ... What number should come next?",B
"Look at this series: 6, 7, 8, 0, ... What number should come next?",C
